,Control,Def,ILD-H,ILD-N,IPF,Poss,Pro,Un,Mix
9.51_299.2577,3808.430466206891,5080.677244612058,3392.192234482752,3986.247234482752,4868.975534482752,6223.991943103432,4405.067903448266,3817.0712125391783,5851.341731272283
9.14_299.2576,32995.383379310326,13079.927952586191,18874.2904827586,23065.220482758603,19029.873482758598,12022.390482758605,12738.455775862054,10765.624501567387,18390.699524375723
9.76_299.2578,26613.392006896498,59261.924394396476,30711.523206896498,34865.2632068965,26202.5182068965,70191.19620689645,46483.8002068965,41305.40957053286,51181.9596206896
9.07_850.5312,260.3850490344821,6211.463079687493,0.0,0.0,264.7333839655168,7811.416974568955,6680.832074568959,4760.262937366763,1608.3205309750285
9.79_858.5837,72987.36459282733,200876.16026702544,0.0,0.0,57384.71589793083,274212.1656351719,185364.648135172,189618.27358206856,76060.88579167624
9.59_796.5416,8241.93421931034,37165.561293103376,3818.120027586202,4668.730027586202,10676.637027586201,47594.822048275695,37134.983287930954,35334.87976865197,20172.087959571934
9.79_796.5465,12181.351391862057,119751.34041918098,25155.89484551724,12894.116845517241,13892.81784551722,145642.11279672413,92394.06308534477,65746.32766294663,56489.78987942921
9.2_810.5301,423.68936861517165,14290.309178685324,54.3417495724136,0.0,241.9654571793098,17316.119207734468,13510.413914144814,6749.490579579927,4481.301780370976
9.47_810.5289,2675.309958079996,77464.60496274997,1882.1350975999958,0.0,3364.4157731999994,96217.44768179994,67609.29760739999,65510.680199199975,28280.137547586204
10.12_810.5277,2780.7729887986143,190960.5973032461,328.06245439931,837.30810879862,137.9812815989653,236198.7220583959,168260.44414479635,181434.95014806898,88883.0853754446
10.45_810.5282,256.9166888937927,12900.673687234459,41.9110424468964,61.77732289379294,78.80436489379281,18968.110726011004,11490.092256011008,14017.629616576764,11043.076057062035
8.74_836.5436,608.6454372413777,3008.8180676724073,68.473092413793,135.851292413793,658.6728172413771,5903.290070862056,2840.4504646551604,1209.4021601253896,806.8858506539812
